idx	sing	plur	freq	inVocabs
_	abandons	abandon	_	0
_	abates	abate	_	0
_	abbreviates	abbreviate	_	0
_	abdicates	abdicate	_	0
_	abducts	abduct	_	0
_	abhors	abhor	_	0
_	abides	abide	_	0
_	abolishes	abolish	_	0
_	aborts	abort	_	0
_	abounds	abound	_	0
_	abridges	abridge	_	0
_	absconds	abscond	_	0
_	absolves	absolve	_	0
_	absorbs	absorb	_	0
_	abstains	abstain	_	0
_	abstracts	abstract	_	0
_	abuses	abuse	_	1
_	accedes	accede	_	0
_	accelerates	accelerate	_	0
_	accents	accent	_	1
_	accentuates	accentuate	_	0
_	accepts	accept	_	1
_	accesses	access	_	0
_	accessorizes	accessorize	_	0
_	acclaims	acclaim	_	0
_	acclimates	acclimate	_	0
_	acclimatizes	acclimatize	_	0
_	accommodates	accommodate	_	0
_	accomodates	accomodate	_	0
_	accompanies	accompany	_	0
_	accomplishes	accomplish	_	0
_	accords	accord	_	0
_	accosts	accost	_	0
_	accounts	account	_	1
_	accredits	accredit	_	0
_	accrues	accrue	_	0
_	acculturates	acculturate	_	0
_	accumulates	accumulate	_	0
_	accuses	accuse	_	0
_	accustoms	accustom	_	0
_	acerbates	acerbate	_	0
_	aches	ache	_	0
_	achieves	achieve	_	0
_	acidifies	acidify	_	0
_	acknowledges	acknowledge	_	1
_	acquaints	acquaint	_	0
_	acquiesces	acquiesce	_	0
_	acquires	acquire	_	0
_	acquits	acquit	_	0
_	activates	activate	_	0
_	acts	act	_	1
_	actualizes	actualize	_	0
_	adapts	adapt	_	0
_	addresses	address	_	1
_	adds	add	_	1
_	adheres	adhere	_	0
_	adjoins	adjoin	_	0
_	adjourns	adjourn	_	0
_	adjudicates	adjudicate	_	0
_	adjusts	adjust	_	0
_	administers	administer	_	0
_	administrates	administrate	_	0
_	admires	admire	_	0
_	admits	admit	_	1
_	admonishes	admonish	_	0
_	adopts	adopt	_	0
_	adores	adore	_	0
_	adorns	adorn	_	0
_	adsorbs	adsorb	_	0
_	adulates	adulate	_	0
_	advances	advance	_	1
_	advantages	advantage	_	1
_	advertises	advertise	_	0
_	advises	advise	_	1
_	advocates	advocate	_	1
_	affects	affect	_	1
_	affiliates	affiliate	_	1
_	affirms	affirm	_	0
_	affixes	affix	_	0
_	afflicts	afflict	_	0
_	affords	afford	_	0
_	affronts	affront	_	0
_	ages	age	_	1
_	aggravates	aggravate	_	0
_	aggregates	aggregate	_	0
_	aggrieves	aggrieve	_	0
_	agitates	agitate	_	0
_	agonizes	agonize	_	0
_	agrees	agree	_	1
_	aids	aid	_	1
_	ails	ail	_	0
_	aims	aim	_	1
_	airbrushes	airbrush	_	0
_	airdrops	airdrop	_	0
_	airlifts	airlift	_	0
_	airmails	airmail	_	0
_	airs	air	_	1
_	alarms	alarm	_	1
_	alerts	alert	_	0
_	alienates	alienate	_	0
_	aligns	align	_	0
_	allays	allay	_	0
_	alleges	allege	_	0
_	alleviates	alleviate	_	0
_	allies	ally	_	1
_	allocates	allocate	_	0
_	allots	allot	_	0
_	alloweds	allowed	_	0
_	allows	allow	_	1
_	alludes	allude	_	0
_	allures	allure	_	0
_	alphabetizes	alphabetize	_	0
_	alternates	alternate	_	0
_	alters	alter	_	0
_	amalgamates	amalgamate	_	0
_	amasses	amass	_	0
_	amazes	amaze	_	0
_	ambles	amble	_	0
_	ambushes	ambush	_	0
_	amends	amend	_	0
_	amortizes	amortize	_	0
_	amounts	amount	_	1
_	amplifies	amplify	_	0
_	amputates	amputate	_	0
_	amuses	amuse	_	0
_	analogizes	analogize	_	0
_	analyzes	analyze	_	0
_	anchors	anchor	_	1
_	anesthetizes	anesthetize	_	0
_	angers	anger	_	0
_	anguishes	anguish	_	0
_	animates	animate	_	0
_	annexes	annex	_	0
_	annihilates	annihilate	_	0
_	annotates	annotate	_	0
_	announces	announce	_	1
_	annoys	annoy	_	0
_	annualizes	annualize	_	0
_	annuls	annul	_	0
_	annunciates	annunciate	_	0
_	anoints	anoint	_	0
_	answers	answer	_	1
_	antagonizes	antagonize	_	0
_	anticipates	anticipate	_	0
_	antiquates	antiquate	_	0
_	apologizes	apologize	_	0
_	appalls	appall	_	0
_	appeals	appeal	_	1
_	appears	appear	_	1
_	appeases	appease	_	0
_	appends	append	_	0
_	appertains	appertain	_	0
_	applauds	applaud	_	0
_	applies	apply	_	1
_	appoints	appoint	_	0
_	appraises	appraise	_	0
_	appreciates	appreciate	_	0
_	apprehends	apprehend	_	0
_	apprentices	apprentice	_	0
_	apprises	apprise	_	0
_	approaches	approach	_	1
_	appropriates	appropriate	_	0
_	approves	approve	_	0
_	approximates	approximate	_	0
_	arbitrages	arbitrage	_	0
_	arbitrates	arbitrate	_	0
_	archives	archive	_	1
_	argues	argue	_	1
_	arises	arise	_	1
_	armors	armor	_	0
_	arms	arm	_	1
_	aromatizes	aromatize	_	0
_	arouses	arouse	_	0
_	arraigns	arraign	_	0
_	arranges	arrange	_	0
_	arrests	arrest	_	1
_	arrives	arrive	_	1
_	articulates	articulate	_	0
_	ascends	ascend	_	0
_	ascertains	ascertain	_	0
_	ascribes	ascribe	_	0
_	asks	ask	_	1
_	aspirates	aspirate	_	0
_	aspires	aspire	_	0
_	assails	assail	_	0
_	assassinates	assassinate	_	0
_	assaults	assault	_	1
_	assays	assay	_	0
_	assembles	assemble	_	0
_	assents	assent	_	0
_	asserts	assert	_	1
_	assesses	assess	_	0
_	assigns	assign	_	1
_	assimilates	assimilate	_	0
_	assists	assist	_	1
_	associates	associate	_	1
_	assorts	assort	_	0
_	assuages	assuage	_	0
_	assumes	assume	_	1
_	assures	assure	_	0
_	astonishes	astonish	_	0
_	astounds	astound	_	0
_	atones	atone	_	0
_	attaches	attach	_	0
_	attacks	attack	_	1
_	attains	attain	_	0
_	attempts	attempt	_	1
_	attends	attend	_	1
_	attentions	attention	_	0
_	attests	attest	_	0
_	attracts	attract	_	1
_	attributes	attribute	_	1
_	auctions	auction	_	0
_	auditions	audition	_	0
_	audits	audit	_	0
_	augments	augment	_	0
_	authenticates	authenticate	_	0
_	authorizes	authorize	_	0
_	authors	author	_	1
_	autographs	autograph	_	0
