item	m_sg	m_pl	f_sg	f_pl	inVocabs
0	partidario	partidarios	partidaria		0
1	búlgaro	búlgaros	búlgara	búlgaras	0
2	abierto	abiertos	abierta	abiertas	1
3	democrático	democráticos	democrática	democráticas	0
4	ex	ex			0
5	primer	primeros	primera	primeras	1
6	descontento	descontentos			0
7	cardíaco	cardíacos	cardíaca	cardíacas	0
8	chino	chinos	china	chinas	1
9	celebrado	celebrados	celebrada	celebradas	1
10	nuevo	nuevos	nueva	nuevas	1
11	peruano	peruanos	peruana		1
12	expresado	expresados	expresada	expresadas	1
13	segundo	segundos	segunda	segundas	1
14	interno	internos	interna	internas	1
15	elegido	elegidos	elegida		1
16	único	únicos	única	únicas	0
17	dispuesto	dispuestos	dispuesta	dispuestas	1
18	claro	claros	clara	claras	1
19	pacífico	pacíficos	pacífica	pacíficas	0
20	no-alineados	no-alineados			0
21	largo	largos	larga	largas	1
22	político	políticos	política	políticas	0
23	económico	económicos	económica	económicas	0
24	científico	científicos	científica	científicas	0
25	excesivo	excesivos	excesiva	excesivas	1
26	buen	buenos	buena	buenas	1
27	cercano	cercanos	cercana	cercanas	1
28	urbano	urbanos	urbana	urbanas	1
29	nefasto	nefastos	nefasta	nefastas	0
30	español	españoles	española	españolas	0
31	roto	rotos	rota	rotas	1
32	viejo	viejos	vieja	viejas	1
33	alto	altos	alta	altas	1
34	hecho	hechos	hecha	hechas	1
35	asqueroso	asquerosos	asquerosa	asquerosas	0
36	coquetón			coquetonas	0
37	apetitoso	apetitosos			0
38	intacto	intactos	intacta	intactas	1
39	puro	puros	pura		1
40	duro	duros	dura	duras	1
41	regalado	regalados	regalada	regaladas	0
42	eterno	eternos	eterna	eternas	1
43	organizado	organizados	organizada	organizadas	1
44	fino	finos	fina	finas	1
45	próspero	prósperos	próspera	prósperas	0
46	desarrollado	desarrollados	desarrollada	desarrolladas	1
47	humano	humanos	humana	humanas	1
48	atlético	atléticos	atlética		0
49	blando	blandos	blanda	blandas	0
50	confiado	confiados			0
51	enemigo	enemigos	enemiga	enemigas	1
52	derecho	derechos	derecha	derechas	1
53	táctico	tácticos	táctica	tácticas	0
54	parecido	parecidos	parecida	parecidas	1
55	embrollado	embrollados	embrollada	embrolladas	0
