item	infinitive	tense	sing	plur	inVocabs
0	entrar	Past	entró	entraron	0
0	entrar	Imperfect	entraba	entraban	0
0	entrar	Pres	entra	entran	1
0	entrar	Fut	entrará	entrarán	0
1	acusar	Past	acusó	acusaron	0
1	acusar	Imperfect	acusaba	acusaban	0
1	acusar	Pres	acusa	acusan	0
1	acusar	Fut	acusará	acusarán	0
2	utilizar	Past	utilizó	utilizaron	0
2	utilizar	Imperfect	utilizaba	utilizaban	1
2	utilizar	Pres	utiliza	utilizan	1
2	utilizar	Fut	utilizará	utilizarán	0
3	organizar	Past	organizó	organizaron	0
3	organizar	Imperfect	organizaba	organizaban	0
3	organizar	Pres	organiza	organizan	1
3	organizar	Fut	organizará	organizarán	0
4	provocar	Past	provocó	provocaron	0
4	provocar	Imperfect	provocaba	provocaban	0
4	provocar	Pres	provoca	provocan	1
4	provocar	Fut	provocará	provocarán	0
5	elegir	Past	eligió	eligieron	0
5	elegir	Imperfect	elegía	elegían	0
5	elegir	Pres	elige	eligen	1
5	elegir	Fut	elegirá	elegirán	0
6	amenazar	Past	amenazó	amenazaron	0
6	amenazar	Imperfect	amenazaba	amenazaban	0
6	amenazar	Pres	amenaza	amenazan	0
6	amenazar	Fut	amenazará	amenazarán	0
7	sacar	Past	sacó	sacaron	0
7	sacar	Imperfect	sacaba	sacaban	0
7	sacar	Pres	saca	sacan	1
7	sacar	Fut	sacará	sacarán	0
8	sufrir	Past	sufrió	sufrieron	0
8	sufrir	Imperfect	sufría	sufrían	0
8	sufrir	Pres	sufre	sufren	1
8	sufrir	Fut	sufrirá	sufrirán	0
9	dimitir	Past	dimitió	dimitieron	0
9	dimitir	Imperfect	dimitía	dimitían	0
9	dimitir	Pres	dimite	dimiten	0
9	dimitir	Fut	dimitirá	dimitirán	0
10	sustituir	Past	sustituyó	sustituyeron	0
10	sustituir	Imperfect	sustituía	sustituían	0
10	sustituir	Pres	sustituye	sustituyen	0
10	sustituir	Fut	sustituirá	sustituirán	0
11	defender	Past	defendió	defendieron	0
11	defender	Imperfect	defendía	defendían	0
11	defender	Pres	defiende	defienden	1
11	defender	Fut	defenderá	defenderán	0
12	ofrecer	Past	ofreció	ofrecieron	0
12	ofrecer	Imperfect	ofrecía	ofrecían	0
12	ofrecer	Pres	ofrece	ofrecen	1
12	ofrecer	Fut	ofrecerá	ofrecerán	0
13	respetar	Past	respetó	respetaron	0
13	respetar	Imperfect	respetaba	respetaban	0
13	respetar	Pres	respeta	respetan	0
13	respetar	Fut	respetará	respetarán	0
14	declarar	Past	declaró	declararon	0
14	declarar	Imperfect	declaraba	declaraban	0
14	declarar	Pres	declara	declaran	0
14	declarar	Fut	declarará	declararán	0
15	agregar	Past	agregó	agregaron	0
15	agregar	Imperfect	agregaba	agregaban	0
15	agregar	Pres	agrega	agregan	0
15	agregar	Fut	agregará	agregarán	0
16	rechazar	Past	rechazó	rechazaron	0
16	rechazar	Imperfect	rechazaba	rechazaban	0
16	rechazar	Pres	rechaza	rechazan	0
16	rechazar	Fut	rechazará	rechazarán	0
17	alterar	Past	alteró	alteraron	0
17	alterar	Imperfect	alteraba	alteraban	0
17	alterar	Pres	altera	alteran	0
17	alterar	Fut	alterará	alterarán	0
18	mencionar	Past	mencionó	mencionaron	0
18	mencionar	Imperfect	mencionaba	mencionaban	0
18	mencionar	Pres	menciona	mencionan	1
18	mencionar	Fut	mencionará	mencionarán	0
19	criticar	Past	criticó	criticaron	0
19	criticar	Imperfect	criticaba	criticaban	0
19	criticar	Pres	critica	critican	0
19	criticar	Fut	criticará	criticarán	0
20	poner	Past	puso	pusieron	1
20	poner	Imperfect	ponía	ponían	0
20	poner	Pres	pone	ponen	1
20	poner	Fut	pondrá	pondrán	0
21	aumentar	Past	aumentó	aumentaron	0
21	aumentar	Imperfect	aumentaba	aumentaban	0
21	aumentar	Pres	aumenta	aumentan	1
21	aumentar	Fut	aumentará	aumentarán	0
22	trabajar	Past	trabajó	trabajaron	0
22	trabajar	Imperfect	trabajaba	trabajaban	1
22	trabajar	Pres	trabaja	trabajan	1
22	trabajar	Fut	trabajará	trabajarán	0
23	colaborar	Past	colaboró	colaboraron	0
23	colaborar	Imperfect	colaboraba	colaboraban	0
23	colaborar	Pres	colabora	colaboran	0
23	colaborar	Fut	colaborará	colaborarán	0
24	reiterar	Past	reiteró	reiteraron	0
24	reiterar	Imperfect	reiteraba	reiteraban	0
24	reiterar	Pres	reitera	reiteran	0
24	reiterar	Fut	reiterará	reiterarán	0
25	dejar	Past	dejó	dejaron	0
25	dejar	Imperfect	dejaba	dejaban	1
25	dejar	Pres	deja	dejan	1
25	dejar	Fut	dejará	dejarán	0
26	regir	Past	rigió	rigieron	0
26	regir	Imperfect	regía	regían	0
26	regir	Pres	rige	rigen	1
26	regir	Fut	regirá	regirán	0
27	pertenecer	Past	perteneció	pertenecieron	0
27	pertenecer	Imperfect	pertenecía	pertenecían	0
27	pertenecer	Pres	pertenece	pertenecen	1
27	pertenecer	Fut	pertenecerá	pertenecerán	0
28	tener	Past	tuvo	tuvieron	1
28	tener	Imperfect	tenía	tenían	0
28	tener	Pres	tiene	tienen	1
28	tener	Fut	tendrá	tendrán	0
29	producir	Past	produjo	produjeron	1
29	producir	Imperfect	producía	producían	0
29	producir	Pres	produce	producen	1
29	producir	Fut	producirá	producirán	0
30	viajar	Past	viajó	viajaron	0
30	viajar	Imperfect	viajaba	viajaban	0
30	viajar	Pres	viaja	viajan	1
30	viajar	Fut	viajará	viajarán	0
31	mantener	Past	mantuvo	mantuvieron	1
31	mantener	Imperfect	mantenía	mantenían	0
31	mantener	Pres	mantiene	mantienen	1
31	mantener	Fut	mantendrá	mantendrán	0
32	cerrar	Past	cerró	cerraron	0
32	cerrar	Imperfect	cerraba	cerraban	0
32	cerrar	Pres	cierra	cierran	1
32	cerrar	Fut	cerrará	cerrarán	0
33	discutir	Past	discutió	discutieron	0
33	discutir	Imperfect	discutía	discutían	0
33	discutir	Pres	discute	discuten	0
33	discutir	Fut	discutirá	discutirán	0
34	salir	Past	salió	salieron	0
34	salir	Imperfect	salía	salían	0
34	salir	Pres	sale	salen	1
34	salir	Fut	saldrá	saldrán	0
35	aterrizar	Past	aterrizó	aterrizaron	0
35	aterrizar	Imperfect	aterrizaba	aterrizaban	0
35	aterrizar	Pres	aterriza	aterrizan	0
35	aterrizar	Fut	aterrizará	aterrizarán	0
36	despegar	Past	despegó	despegaron	0
36	despegar	Imperfect	despegaba	despegaban	0
36	despegar	Pres	despega	despegan	0
36	despegar	Fut	despegará	despegarán	0
37	romper	Past	rompió	rompieron	0
37	romper	Imperfect	rompía	rompían	0
37	romper	Pres	rompe	rompen	1
37	romper	Fut	romperá	romperán	0
38	machacar	Past	machacó	machacaron	0
38	machacar	Imperfect	machacaba	machacaban	0
38	machacar	Pres	machaca	machacan	0
38	machacar	Fut	machacará	machacarán	0
39	cesar	Past	cesó	cesaron	0
39	cesar	Imperfect	cesaba	cesaban	0
39	cesar	Pres	cesa	cesan	0
39	cesar	Fut	cesará	cesarán	0
40	recrear	Past	recreó	recrearon	0
40	recrear	Imperfect	recreaba	recreaban	0
40	recrear	Pres	recrea	recrean	0
40	recrear	Fut	recreará	recrearán	0
41	intentar	Past	intentó	intentaron	0
41	intentar	Imperfect	intentaba	intentaban	0
41	intentar	Pres	intenta	intentan	1
41	intentar	Fut	intentará	intentarán	0
42	conciliar	Past	concilió	conciliaron	0
42	conciliar	Imperfect	conciliaba	conciliaban	0
42	conciliar	Pres	concilia	concilian	0
42	conciliar	Fut	conciliará	conciliarán	0
43	ocurrir	Past	ocurrió	ocurrieron	0
43	ocurrir	Imperfect	ocurría	ocurrían	0
43	ocurrir	Pres	ocurre	ocurren	1
43	ocurrir	Fut	ocurrirá	ocurrirán	0
44	tratar	Past	trató	trataron	0
44	tratar	Imperfect	trataba	trataban	1
44	tratar	Pres	trata	tratan	1
44	tratar	Fut	tratará	tratarán	0
45	hacer	Past	hizo	hicieron	1
45	hacer	Imperfect	hacía	hacían	0
45	hacer	Pres	hace	hacen	1
45	hacer	Fut	hará	harán	0
46	suplir	Past	suplió	suplieron	0
46	suplir	Imperfect	suplía	suplían	0
46	suplir	Pres	suple	suplen	0
46	suplir	Fut	suplirá	suplirán	0
47	acordar	Past	acordó	acordaron	0
47	acordar	Imperfect	acordaba	acordaban	0
47	acordar	Pres	acuerda	acuerdan	0
