exp	verb	pairNum	sent	target	bias	antecedent	gender	IC
ic_mismatch	abandoned	0	The man abandoned the woman because	he	33	subj	m	subj
ic_mismatch	abandoned	0	The man abandoned the woman because	she	33	obj	f	subj
ic_mismatch	abandoned	0	The woman abandoned the man because	he	33	obj	m	subj
ic_mismatch	abandoned	0	The woman abandoned the man because	she	33	subj	f	subj
ic_mismatch	acclaimed	0	The man acclaimed the woman because	he	-58	subj	m	obj
ic_mismatch	acclaimed	0	The man acclaimed the woman because	she	-58	obj	f	obj
ic_mismatch	acclaimed	0	The woman acclaimed the man because	he	-58	obj	m	obj
ic_mismatch	acclaimed	0	The woman acclaimed the man because	she	-58	subj	f	obj
ic_mismatch	accompanied	0	The man accompanied the woman because	he	-48	subj	m	obj
ic_mismatch	accompanied	0	The man accompanied the woman because	she	-48	obj	f	obj
ic_mismatch	accompanied	0	The woman accompanied the man because	he	-48	obj	m	obj
ic_mismatch	accompanied	0	The woman accompanied the man because	she	-48	subj	f	obj
ic_mismatch	accused	0	The man accused the woman because	he	2	subj	m	subj
ic_mismatch	accused	0	The man accused the woman because	she	2	obj	f	subj
ic_mismatch	accused	0	The woman accused the man because	he	2	obj	m	subj
ic_mismatch	accused	0	The woman accused the man because	she	2	subj	f	subj
ic_mismatch	admired	0	The man admired the woman because	he	-92	subj	m	obj
ic_mismatch	admired	0	The man admired the woman because	she	-92	obj	f	obj
ic_mismatch	admired	0	The woman admired the man because	he	-92	obj	m	obj
ic_mismatch	admired	0	The woman admired the man because	she	-92	subj	f	obj
ic_mismatch	admonished	0	The man admonished the woman because	he	-32	subj	m	obj
ic_mismatch	admonished	0	The man admonished the woman because	she	-32	obj	f	obj
ic_mismatch	admonished	0	The woman admonished the man because	he	-32	obj	m	obj
ic_mismatch	admonished	0	The woman admonished the man because	she	-32	subj	f	obj
ic_mismatch	adored	0	The man adored the woman because	he	-74	subj	m	obj
ic_mismatch	adored	0	The man adored the woman because	she	-74	obj	f	obj
ic_mismatch	adored	0	The woman adored the man because	he	-74	obj	m	obj
ic_mismatch	adored	0	The woman adored the man because	she	-74	subj	f	obj
ic_mismatch	advised	0	The man advised the woman because	he	-28	subj	m	obj
ic_mismatch	advised	0	The man advised the woman because	she	-28	obj	f	obj
ic_mismatch	advised	0	The woman advised the man because	he	-28	obj	m	obj
ic_mismatch	advised	0	The woman advised the man because	she	-28	subj	f	obj
ic_mismatch	affected	0	The man affected the woman because	he	29	subj	m	subj
ic_mismatch	affected	0	The man affected the woman because	she	29	obj	f	subj
ic_mismatch	affected	0	The woman affected the man because	he	29	obj	m	subj
ic_mismatch	affected	0	The woman affected the man because	she	29	subj	f	subj
ic_mismatch	aggravated	0	The man aggravated the woman because	he	59	subj	m	subj
ic_mismatch	aggravated	0	The man aggravated the woman because	she	59	obj	f	subj
ic_mismatch	aggravated	0	The woman aggravated the man because	he	59	obj	m	subj
ic_mismatch	aggravated	0	The woman aggravated the man because	she	59	subj	f	subj
ic_mismatch	agitated	0	The man agitated the woman because	he	85	subj	m	subj
ic_mismatch	agitated	0	The man agitated the woman because	she	85	obj	f	subj
ic_mismatch	agitated	0	The woman agitated the man because	he	85	obj	m	subj
ic_mismatch	agitated	0	The woman agitated the man because	she	85	subj	f	subj
ic_mismatch	alarmed	0	The man alarmed the woman because	he	58	subj	m	subj
ic_mismatch	alarmed	0	The man alarmed the woman because	she	58	obj	f	subj
ic_mismatch	alarmed	0	The woman alarmed the man because	he	58	obj	m	subj
ic_mismatch	alarmed	0	The woman alarmed the man because	she	58	subj	f	subj
ic_mismatch	alienated	0	The man alienated the woman because	he	41	subj	m	subj
ic_mismatch	alienated	0	The man alienated the woman because	she	41	obj	f	subj
ic_mismatch	alienated	0	The woman alienated the man because	he	41	obj	m	subj
ic_mismatch	alienated	0	The woman alienated the man because	she	41	subj	f	subj
ic_mismatch	amazed	0	The man amazed the woman because	he	68	subj	m	subj
ic_mismatch	amazed	0	The man amazed the woman because	she	68	obj	f	subj
ic_mismatch	amazed	0	The woman amazed the man because	he	68	obj	m	subj
ic_mismatch	amazed	0	The woman amazed the man because	she	68	subj	f	subj
ic_mismatch	amused	0	The man amused the woman because	he	67	subj	m	subj
ic_mismatch	amused	0	The man amused the woman because	she	67	obj	f	subj
ic_mismatch	amused	0	The woman amused the man because	he	67	obj	m	subj
ic_mismatch	amused	0	The woman amused the man because	she	67	subj	f	subj
ic_mismatch	angered	0	The man angered the woman because	he	85	subj	m	subj
ic_mismatch	angered	0	The man angered the woman because	she	85	obj	f	subj
ic_mismatch	angered	0	The woman angered the man because	he	85	obj	m	subj
